Core(s),# of Threads,Execution Number,μs,Seconds,Average μs
3,21,4,4873,0.004874,
3,21,5,5992,0.005993,
3,21,6,3613,0.003613,3170
3,22,1,3210,0.003211,
3,22,2,2740,0.002740,
3,22,3,5994,0.005994,
3,22,4,5051,0.005052,
3,22,5,3998,0.003998,
3,22,6,6504,0.006504,3498
3,23,1,4523,0.004523,
3,23,2,8486,0.008486,
3,23,3,3433,0.003433,
3,23,4,8043,0.008043,
3,23,5,2882,0.002883,
3,23,6,8889,0.008890,4561
3,24,1,3111,0.003111,
3,24,2,8076,0.008076,
3,24,3,5860,0.005860,
3,24,4,3170,0.003171,
3,24,5,3363,0.003363,
3,24,6,5881,0.005881,3930
3,25,1,4100,0.004101,
3,25,2,8756,0.008757,
3,25,3,11556,0.011556,
3,25,4,3092,0.003092,
3,25,5,3154,0.003154,
3,25,6,3581,0.003581,5109
3,26,1,6330,0.006331,
3,26,2,9663,0.009664,
3,26,3,5019,0.005019,
3,26,4,9588,0.009589,
3,26,5,16915,0.016916,
3,26,6,4441,0.004442,7919
3,27,1,9674,0.009675,
3,27,2,13178,0.013178,
3,27,3,5020,0.005021,
3,27,4,8927,0.008928,
3,27,5,9475,0.009475,
3,27,6,9431,0.009431,7712
3,28,1,7924,0.007925,
3,28,2,8242,0.008242,
3,28,3,4596,0.004597,
3,28,4,12419,0.012419,
3,28,5,2076,0.002076,
3,28,6,6158,0.006158,5876
3,29,1,4345,0.004346,
3,29,2,8860,0.008861,
3,29,3,4174,0.004175,
3,29,4,9099,0.009100,
3,29,5,8800,0.008801,
3,29,6,13307,0.013308,5879
3,30,1,9593,0.009594,
3,30,2,3324,0.003324,
3,30,3,8089,0.008089,
3,30,4,8029,0.008029,
3,30,5,1385,1,1,2581,0.002581,
5,1,2,2368,0.002369,
5,1,3,2375,0.002376,
5,1,4,3865,0.003865,
5,1,5,2526,0.002526,
5,1,6,2510,0.002510,2285
5,2,1,1552,0.001552,
5,2,2,3795,0.003795,
5,2,3,1238,0.001238,
5,2,4,1214,0.001215,
5,2,5,1620,0.001620,
5,2,6,2205,0.002206,1569
5,3,1,1962,0.001963,
5,3,2,0970,0.000971,
5,3,3,1228,0.001229,
5,3,4,1705,0.001706,
5,3,5,1778,0.001778,
5,3,6,1873,0.001873,1273
5,4,1,2504,0.002505,
5,4,2,3208,0.003209,
5,4,3,1618,0.001619,
5,4,4,2541,0.002542,
5,4,5,2021,0.002022,
5,4,6,2900,0.002900,1982
